Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
11/5/2020,Big Creek eFishing,1,1,9,256,18
11/5/2020,Big Creek eFishing,1,1,9,180,14
11/5/2020,Big Creek eFishing,1,1,9,128,13
11/5/2020,Big Creek eFishing,1,1,9,90,9
11/5/2020,Big Creek eFishing,1,1,9,64,1
11/5/2020,Big Creek eFishing,1,1,9,45,3
11/5/2020,Big Creek eFishing,1,1,9,32,3
11/5/2020,Big Creek eFishing,1,1,9,22.6,1
11/5/2020,Big Creek eFishing,1,1,9,16,2
11/5/2020,Big Creek eFishing,1,1,9,11.3,1
11/5/2020,Big Creek eFishing,1,1,9,8,3
11/5/2020,Big Creek eFishing,1,1,9,5.6,2
11/5/2020,Big Creek eFishing,1,1,9,4,0
11/5/2020,Big Creek eFishing,1,1,9,2.8,1
11/5/2020,Big Creek eFishing,1,1,9,2,0
11/5/2020,Big Creek eFishing,1,1,9,1.9,29
11/5/2020,Big Creek eFishing,2,1,9,256,43
11/5/2020,Big Creek eFishing,2,1,9,180,2
11/5/2020,Big Creek eFishing,2,1,9,128,6
11/5/2020,Big Creek eFishing,2,1,9,90,1
11/5/2020,Big Creek eFishing,2,1,9,64,4
11/5/2020,Big Creek eFishing,2,1,9,45,5
11/5/2020,Big Creek eFishing,2,1,9,32,3
11/5/2020,Big Creek eFishing,2,1,9,22.6,1
11/5/2020,Big Creek eFishing,2,1,9,16,2
11/5/2020,Big Creek eFishing,2,1,9,11.3,2
11/5/2020,Big Creek eFishing,2,1,9,8,0
11/5/2020,Big Creek eFishing,2,1,9,5.6,0
11/5/2020,Big Creek eFishing,2,1,9,4,1
11/5/2020,Big Creek eFishing,2,1,9,2.8,0
11/5/2020,Big Creek eFishing,2,1,9,2,0
11/5/2020,Big Creek eFishing,2,1,9,1.9,30
11/5/2020,Big Creek eFishing,3,1,9,256,20
11/5/2020,Big Creek eFishing,3,1,9,180,2
11/5/2020,Big Creek eFishing,3,1,9,128,4
11/5/2020,Big Creek eFishing,3,1,9,90,3
11/5/2020,Big Creek eFishing,3,1,9,64,1
11/5/2020,Big Creek eFishing,3,1,9,45,3
11/5/2020,Big Creek eFishing,3,1,9,32,9
11/5/2020,Big Creek eFishing,3,1,9,22.6,3
11/5/2020,Big Creek eFishing,3,1,9,16,0
11/5/2020,Big Creek eFishing,3,1,9,11.3,2
11/5/2020,Big Creek eFishing,3,1,9,8,2
11/5/2020,Big Creek eFishing,3,1,9,5.6,2
11/5/2020,Big Creek eFishing,3,1,9,4,1
11/5/2020,Big Creek eFishing,3,1,9,2.8,0
