Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
6/8/2021,PCX-1,,3,2,256,9
6/8/2021,PCX-1,,3,2,180,0
6/8/2021,PCX-1,,3,2,128,0
6/8/2021,PCX-1,,3,2,90,7
6/8/2021,PCX-1,,3,2,64,6
6/8/2021,PCX-1,,3,2,45,6
6/8/2021,PCX-1,,3,2,32,10
6/8/2021,PCX-1,,3,2,22.6,4
6/8/2021,PCX-1,,3,2,16,10
6/8/2021,PCX-1,,3,2,11.3,5
6/8/2021,PCX-1,,3,2,8,3
6/8/2021,PCX-1,,3,2,5.6,4
6/8/2021,PCX-1,,3,2,4,5
6/8/2021,PCX-1,,3,2,2.8,3
6/8/2021,PCX-1,,3,2,2,0
6/8/2021,PCX-1,,3,2,1.9,28
6/8/2021,PCX-2,,3,3,256,21
6/8/2021,PCX-2,,3,3,180,0
6/8/2021,PCX-2,,3,3,128,0
6/8/2021,PCX-2,,3,3,90,3
6/8/2021,PCX-2,,3,3,64,3
6/8/2021,PCX-2,,3,3,45,5
6/8/2021,PCX-2,,3,3,32,2
6/8/2021,PCX-2,,3,3,22.6,2
6/8/2021,PCX-2,,3,3,16,3
6/8/2021,PCX-2,,3,3,11.3,2
6/8/2021,PCX-2,,3,3,8,2
6/8/2021,PCX-2,,3,3,5.6,0
6/8/2021,PCX-2,,3,3,4,1
6/8/2021,PCX-2,,3,3,2.8,5
6/8/2021,PCX-2,,3,3,2,0
6/8/2021,PCX-2,,3,3,1.9,51
6/8/2021,PCX-3,,3,8,256,18
6/8/2021,PCX-3,,3,8,180,1
6/8/2021,PCX-3,,3,8,128,2
6/8/2021,PCX-3,,3,8,90,4
6/8/2021,PCX-3,,3,8,64,4
6/8/2021,PCX-3,,3,8,45,1
6/8/2021,PCX-3,,3,8,32,1
6/8/2021,PCX-3,,3,8,22.6,1
6/8/2021,PCX-3,,3,8,16,1
6/8/2021,PCX-3,,3,8,11.3,1
6/8/2021,PCX-3,,3,8,8,3
6/8/2021,PCX-3,,3,8,5.6,3
6/8/2021,PCX-3,,3,8,4,7
6/8/2021,PCX-3,,3,8,2.8,1
6/8/2021,PCX-3,,3,8,2,0
6/8/2021,PCX-3,,3,8,1.9,52
6/8/2021,PCX-4,,3,4,256,6
6/8/2021,PCX-4,,3,4,180,0
6/8/2021,PCX-4,,3,4,128,3
6/8/2021,PCX-4,,3,4,90,4
6/8/2021,PCX-4,,3,4,64,2
6/8/2021,PCX-4,,3,4,45,4
6/8/2021,PCX-4,,3,4,32,10
6/8/2021,PCX-4,,3,4,22.6,3
6/8/2021,PCX-4,,3,4,16,2
6/8/2021,PCX-4,,3,4,11.3,1
6/8/2021,PCX-4,,3,4,8,0
6/8/2021,PCX-4,,3,4,5.6,0
6/8/2021,PCX-4,,3,4,4,0
6/8/2021,PCX-4,,3,4,2.8,1
6/8/2021,PCX-4,,3,4,2,0
6/8/2021,PCX-4,,3,4,1.9,64
6/8/2021,PCX-5,,3,5,256,0
6/8/2021,PCX-5,,3,5,180,0
6/8/2021,PCX-5,,3,5,128,0
6/8/2021,PCX-5,,3,5,90,4
6/8/2021,PCX-5,,3,5,64,3
6/8/2021,PCX-5,,3,5,45,2
6/8/2021,PCX-5,,3,5,32,8
6/8/2021,PCX-5,,3,5,22.6,4
6/8/2021,PCX-5,,3,5,16,2
6/8/2021,PCX-5,,3,5,11.3,4
6/8/2021,PCX-5,,3,5,8,3
6/8/2021,PCX-5,,3,5,5.6,1
6/8/2021,PCX-5,,3,5,4,0
6/8/2021,PCX-5,,3,5,2.8,0
6/8/2021,PCX-5,,3,5,2,0
6/8/2021,PCX-5,,3,5,1.9,69
6/21/2021,Big Creek eFishing ,1,3,9,256,38
6/21/2021,Big Creek eFishing ,1,3,9,180,0
6/21/2021,Big Creek eFishing ,1,3,9,128,3
6/21/2021,Big Creek eFishing ,1,3,9,90,4
6/21/2021,Big Creek eFishing ,1,3,9,64,1
6/21/2021,Big Creek eFishing ,1,3,9,45,1
6/21/2021,Big Creek eFishing ,1,3,9,32,0
6/21/2021,Big Creek eFishing ,1,3,9,22.6,4
6/21/2021,Big Creek eFishing ,1,3,9,16,6
6/21/2021,Big Creek eFishing ,1,3,9,11.3,8
6/21/2021,Big Creek eFishing ,1,3,9,8,1
6/21/2021,Big Creek eFishing ,1,3,9,5.6,3
6/21/2021,Big Creek eFishing ,1,3,9,4,0
6/21/2021,Big Creek eFishing ,1,3,9,2.8,2
6/21/2021,Big Creek eFishing ,1,3,9,2,0
6/21/2021,Big Creek eFishing ,1,3,9,1.9,29
6/21/2021,Big Creek eFishing ,2,3,9,256,23
6/21/2021,Big Creek eFishing ,2,3,9,180,3
6/21/2021,Big Creek eFishing ,2,3,9,128,4
6/21/2021,Big Creek eFishing ,2,3,9,90,2
6/21/2021,Big Creek eFishing ,2,3,9,64,4
6/21/2021,Big Creek eFishing ,2,3,9,45,2
6/21/2021,Big Creek eFishing ,2,3,9,32,5
6/21/2021,Big Creek eFishing ,2,3,9,22.6,1
6/21/2021,Big Creek eFishing ,2,3,9,16,2
6/21/2021,Big Creek eFishing ,2,3,9,11.3,1
6/21/2021,Big Creek eFishing ,2,3,9,8,2
6/21/2021,Big Creek eFishing ,2,3,9,5.6,2
6/21/2021,Big Creek eFishing ,2,3,9,4,3
6/21/2021,Big Creek eFishing ,2,3,9,2.8,2
6/21/2021,Big Creek eFishing ,2,3,9,2,0
6/21/2021,Big Creek eFishing ,2,3,9,1.9,35
6/21/2021,Big Creek eFishing ,3,3,9,256,19
6/21/2021,Big Creek eFishing ,3,3,9,180,6
6/21/2021,Big Creek eFishing ,3,3,9,128,0
6/21/2021,Big Creek eFishing ,3,3,9,90,3
6/21/2021,Big Creek eFishing ,3,3,9,64,1
6/21/2021,Big Creek eFishing ,3,3,9,45,2
6/21/2021,Big Creek eFishing ,3,3,9,32,1
6/21/2021,Big Creek eFishing ,3,3,9,22.6,0
6/21/2021,Big Creek eFishing ,3,3,9,16,1
6/21/2021,Big Creek eFishing ,3,3,9,11.3,1
6/21/2021,Big Creek eFishing ,3,3,9,8,2
6/21/2021,Big Creek eFishing ,3,3,9,5.6,3
6/21/2021,Big Creek eFishing ,3,3,9,4,3
6/21/2021,Big Creek eFishing ,3,3,9,2.8,0
6/21/2021,Big Creek eFishing ,3,3,9,2,0
6/21/2021,Big Creek eFishing ,3,3,9,1.9,58
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,256,26
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,180,6
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,128,6
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,90,6
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,64,6
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,45,3
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,32,2
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,22.6,1
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,16,6
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,11.3,3
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,8,2
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,5.6,2
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,4,1
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,2.8,1
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,2,0
6/21/2021,Big Creek Powerhouse eFishing ,1,3,10,1.9,29
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,256,35
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,180,4
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,128,1
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,90,1
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,64,1
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,45,3
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,32,1
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,22.6,3
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,16,2
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,11.3,1
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,8,4
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,5.6,4
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,4,2
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,2.8,1
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,2,0
6/21/2021,Big Creek Powerhouse eFishing ,2,3,10,1.9,37
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,256,36
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,180,4
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,128,2
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,90,3
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,64,3
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,45,0
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,32,0
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,22.6,0
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,16,1
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,11.3,1
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,8,1
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,5.6,3
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,4,3
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,2.8,1
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,2,1
6/21/2021,Big Creek Powerhouse eFishing ,3,3,10,1.9,42
6/23/2021,Lower Mainstem eFishing ,1,3,1,256,0
6/23/2021,Lower Mainstem eFishing ,1,3,1,180,0
6/23/2021,Lower Mainstem eFishing ,1,3,1,128,1
6/23/2021,Lower Mainstem eFishing ,1,3,1,90,0
6/23/2021,Lower Mainstem eFishing ,1,3,1,64,2
6/23/2021,Lower Mainstem eFishing ,1,3,1,45,1
6/23/2021,Lower Mainstem eFishing ,1,3,1,32,1
6/23/2021,Lower Mainstem eFishing ,1,3,1,22.6,0
6/23/2021,Lower Mainstem eFishing ,1,3,1,16,2
6/23/2021,Lower Mainstem eFishing ,1,3,1,11.3,3
6/23/2021,Lower Mainstem eFishing ,1,3,1,8,0
6/23/2021,Lower Mainstem eFishing ,1,3,1,5.6,2
6/23/2021,Lower Mainstem eFishing ,1,3,1,4,3
6/23/2021,Lower Mainstem eFishing ,1,3,1,2.8,2
6/23/2021,Lower Mainstem eFishing ,1,3,1,2,0
6/23/2021,Lower Mainstem eFishing ,1,3,1,1.9,83
6/23/2021,Lower Mainstem eFishing ,2,3,1,256,0
6/23/2021,Lower Mainstem eFishing ,2,3,1,180,0
6/23/2021,Lower Mainstem eFishing ,2,3,1,128,8
6/23/2021,Lower Mainstem eFishing ,2,3,1,90,5
6/23/2021,Lower Mainstem eFishing ,2,3,1,64,0
6/23/2021,Lower Mainstem eFishing ,2,3,1,45,0
6/23/2021,Lower Mainstem eFishing ,2,3,1,32,4
6/23/2021,Lower Mainstem eFishing ,2,3,1,22.6,4
6/23/2021,Lower Mainstem eFishing ,2,3,1,16,4
6/23/2021,Lower Mainstem eFishing ,2,3,1,11.3,1
6/23/2021,Lower Mainstem eFishing ,2,3,1,8,3
6/23/2021,Lower Mainstem eFishing ,2,3,1,5.6,0
6/23/2021,Lower Mainstem eFishing ,2,3,1,4,6
6/23/2021,Lower Mainstem eFishing ,2,3,1,2.8,2
6/23/2021,Lower Mainstem eFishing ,2,3,1,2,0
6/23/2021,Lower Mainstem eFishing ,2,3,1,1.9,63
6/23/2021,Lower Mainstem eFishing ,3,3,1,256,0
6/23/2021,Lower Mainstem eFishing ,3,3,1,180,4
6/23/2021,Lower Mainstem eFishing ,3,3,1,128,4
6/23/2021,Lower Mainstem eFishing ,3,3,1,90,5
6/23/2021,Lower Mainstem eFishing ,3,3,1,64,1
6/23/2021,Lower Mainstem eFishing ,3,3,1,45,1
6/23/2021,Lower Mainstem eFishing ,3,3,1,32,0
6/23/2021,Lower Mainstem eFishing ,3,3,1,22.6,1
6/23/2021,Lower Mainstem eFishing ,3,3,1,16,1
6/23/2021,Lower Mainstem eFishing ,3,3,1,11.3,0
6/23/2021,Lower Mainstem eFishing ,3,3,1,8,1
6/23/2021,Lower Mainstem eFishing ,3,3,1,5.6,5
6/23/2021,Lower Mainstem eFishing ,3,3,1,4,6
6/23/2021,Lower Mainstem eFishing ,3,3,1,2.8,1
6/23/2021,Lower Mainstem eFishing ,3,3,1,2,0
6/23/2021,Lower Mainstem eFishing ,3,3,1,1.9,70
6/24/2021,Upper Mainstem eFishing ,1,3,6,256,0
6/24/2021,Upper Mainstem eFishing ,1,3,6,180,0
6/24/2021,Upper Mainstem eFishing ,1,3,6,128,0
6/24/2021,Upper Mainstem eFishing ,1,3,6,90,2
6/24/2021,Upper Mainstem eFishing ,1,3,6,64,9
6/24/2021,Upper Mainstem eFishing ,1,3,6,45,16
6/24/2021,Upper Mainstem eFishing ,1,3,6,32,21
6/24/2021,Upper Mainstem eFishing ,1,3,6,22.6,16
6/24/2021,Upper Mainstem eFishing ,1,3,6,16,4
6/24/2021,Upper Mainstem eFishing ,1,3,6,11.3,2
6/24/2021,Upper Mainstem eFishing ,1,3,6,8,1
6/24/2021,Upper Mainstem eFishing ,1,3,6,5.6,0
6/24/2021,Upper Mainstem eFishing ,1,3,6,4,0
6/24/2021,Upper Mainstem eFishing ,1,3,6,2.8,0
6/24/2021,Upper Mainstem eFishing ,1,3,6,2,0
6/24/2021,Upper Mainstem eFishing ,1,3,6,1.9,29
6/24/2021,Upper Mainstem eFishing ,2,3,6,256,0
6/24/2021,Upper Mainstem eFishing ,2,3,6,180,0
6/24/2021,Upper Mainstem eFishing ,2,3,6,128,0
6/24/2021,Upper Mainstem eFishing ,2,3,6,90,0
6/24/2021,Upper Mainstem eFishing ,2,3,6,64,7
6/24/2021,Upper Mainstem eFishing ,2,3,6,45,7
6/24/2021,Upper Mainstem eFishing ,2,3,6,32,7
6/24/2021,Upper Mainstem eFishing ,2,3,6,22.6,4
6/24/2021,Upper Mainstem eFishing ,2,3,6,16,9
6/24/2021,Upper Mainstem eFishing ,2,3,6,11.3,9
6/24/2021,Upper Mainstem eFishing ,2,3,6,8,3
6/24/2021,Upper Mainstem eFishing ,2,3,6,5.6,10
6/24/2021,Upper Mainstem eFishing ,2,3,6,4,6
6/24/2021,Upper Mainstem eFishing ,2,3,6,2.8,1
6/24/2021,Upper Mainstem eFishing ,2,3,6,2,0
6/24/2021,Upper Mainstem eFishing ,2,3,6,1.9,37
6/24/2021,Upper Mainstem eFishing ,3,3,6,256,0
6/24/2021,Upper Mainstem eFishing ,3,3,6,180,0
6/24/2021,Upper Mainstem eFishing ,3,3,6,128,0
6/24/2021,Upper Mainstem eFishing ,3,3,6,90,1
6/24/2021,Upper Mainstem eFishing ,3,3,6,64,0
6/24/2021,Upper Mainstem eFishing ,3,3,6,45,8
6/24/2021,Upper Mainstem eFishing ,3,3,6,32,11
6/24/2021,Upper Mainstem eFishing ,3,3,6,22.6,15
6/24/2021,Upper Mainstem eFishing ,3,3,6,16,6
6/24/2021,Upper Mainstem eFishing ,3,3,6,11.3,7
6/24/2021,Upper Mainstem eFishing ,3,3,6,8,3
6/24/2021,Upper Mainstem eFishing ,3,3,6,5.6,2
6/24/2021,Upper Mainstem eFishing ,3,3,6,4,2
6/24/2021,Upper Mainstem eFishing ,3,3,6,2.8,0
6/24/2021,Upper Mainstem eFishing ,3,3,6,2,0
6/24/2021,Upper Mainstem eFishing ,3,3,6,1.9,45
6/24/2021,Dog eFishing,1,3,7,256,0
6/24/2021,Dog eFishing,1,3,7,180,5
6/24/2021,Dog eFishing,1,3,7,128,0
6/24/2021,Dog eFishing,1,3,7,90,3
6/24/2021,Dog eFishing,1,3,7,64,1
6/24/2021,Dog eFishing,1,3,7,45,2
6/24/2021,Dog eFishing,1,3,7,32,2
6/24/2021,Dog eFishing,1,3,7,22.6,0
6/24/2021,Dog eFishing,1,3,7,16,0
6/24/2021,Dog eFishing,1,3,7,11.3,2
6/24/2021,Dog eFishing,1,3,7,8,2
6/24/2021,Dog eFishing,1,3,7,5.6,5
6/24/2021,Dog eFishing,1,3,7,4,7
6/24/2021,Dog eFishing,1,3,7,2.8,3
6/24/2021,Dog eFishing,1,3,7,2,2
6/24/2021,Dog eFishing,1,3,7,1.9,66
6/24/2021,Dog eFishing,2,3,7,256,0
6/24/2021,Dog eFishing,2,3,7,180,0
6/24/2021,Dog eFishing,2,3,7,128,0
6/24/2021,Dog eFishing,2,3,7,90,0
6/24/2021,Dog eFishing,2,3,7,64,0
6/24/2021,Dog eFishing,2,3,7,45,1
6/24/2021,Dog eFishing,2,3,7,32,2
6/24/2021,Dog eFishing,2,3,7,22.6,7
6/24/2021,Dog eFishing,2,3,7,16,3
6/24/2021,Dog eFishing,2,3,7,11.3,6
6/24/2021,Dog eFishing,2,3,7,8,7
6/24/2021,Dog eFishing,2,3,7,5.6,7
6/24/2021,Dog eFishing,2,3,7,4,8
6/24/2021,Dog eFishing,2,3,7,2.8,8
6/24/2021,Dog eFishing,2,3,7,2,3
6/24/2021,Dog eFishing,2,3,7,1.9,48
6/24/2021,Dog eFishing,3,3,7,256,20
6/24/2021,Dog eFishing,3,3,7,180,0
6/24/2021,Dog eFishing,3,3,7,128,5
6/24/2021,Dog eFishing,3,3,7,90,2
6/24/2021,Dog eFishing,3,3,7,64,6
6/24/2021,Dog eFishing,3,3,7,45,8
6/24/2021,Dog eFishing,3,3,7,32,5
6/24/2021,Dog eFishing,3,3,7,22.6,1
6/24/2021,Dog eFishing,3,3,7,16,2
6/24/2021,Dog eFishing,3,3,7,11.3,3
6/24/2021,Dog eFishing,3,3,7,8,0
6/24/2021,Dog eFishing,3,3,7,5.6,0
6/24/2021,Dog eFishing,3,3,7,4,0
6/24/2021,Dog eFishing,3,3,7,2.8,0
6/24/2021,Dog eFishing,3,3,7,2,0
6/24/2021,Dog eFishing,3,3,7,1.9,48
6/22/2021,Little Creek eFishing,1,3,11,256,0
6/22/2021,Little Creek eFishing,1,3,11,180,0
