Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
2/24/2021,Lower eFishing,1,2,1,256,0
2/24/2021,Lower eFishing,1,2,1,180,0
2/24/2021,Lower eFishing,1,2,1,128,3
2/24/2021,Lower eFishing,1,2,1,90,2
2/24/2021,Lower eFishing,1,2,1,64,5
2/24/2021,Lower eFishing,1,2,1,45,6
2/24/2021,Lower eFishing,1,2,1,32,14
2/24/2021,Lower eFishing,1,2,1,22.6,10
2/24/2021,Lower eFishing,1,2,1,16,5
2/24/2021,Lower eFishing,1,2,1,11.3,6
2/24/2021,Lower eFishing,1,2,1,8,4
2/24/2021,Lower eFishing,1,2,1,5.6,3
2/24/2021,Lower eFishing,1,2,1,4,1
2/24/2021,Lower eFishing,1,2,1,2.8,0
2/24/2021,Lower eFishing,1,2,1,2,0
2/24/2021,Lower eFishing,1,2,1,1.9,40
