Date,Time,,Temp_C,,Temp_F,,Temp_K,,pH,,ORP_mV,,SpCond_mS_cm,,SpCond_us_cm,,Res_kO_cm,,Sal_ppt,,TDS_g_l,,Dep100_m,,Dep100_f,,Dep100_psia,,DepthX_V,,DepthY_mV,,TurbSC_V,,TurbSC_NTU,,Clean_rev,,pHVolts_mV,,LDO_sat,,LDO_mg_l,,BP_mmHg,,Ibatt_V,,Ebatt_V,,Ibatt_perleft,,EBatt_perleft,,Circ_status
12/31/2020,15:00:00,,9.51,,49.1,,282.7,,7.65,,385,,0.3,,299,,3,,0.14,,0.2,,1.76,,5.8,,2.5,,0.877,,1.03,,0.2915,,0,,0,,-44.4,,122.5,,11.42,,622,,11.4,,0,,87,,0,,1
12/31/2020,15:30:00,,9.49,,49.1,,282.6,,7.68,,385,,0.3,,291,,3,,0.14,,0.2,,1.76,,5.8,,2.51,,0.875,,1.03,,0.2915,,0,,0,,-46.2,,121.5,,11.33,,622,,11.4,,0,,87,,0,,1
12/31/2020,16:00:00,,9.48,,49.1,,282.6,,7.69,,386,,0.3,,298,,3,,0.14,,0.2,,1.79,,5.9,,2.54,,0.874,,1.03,,0.2916,,0,,0,,-46.8,,119.3,,11.13,,622,,11.4,,0,,87,,0,,1
12/31/2020,16:30:00,,9.44,,49,,282.6,,7.69,,386,,0.3,,296,,3,,0.14,,0.2,,1.77,,5.8,,2.52,,0.873,,1.03,,0.2916,,0,,0,,-46.5,,118,,11.02,,622,,11.4,,0,,87,,0,,1
12/31/2020,17:00:00,,9.39,,48.9,,282.6,,7.67,,386,,0.3,,298,,3,,0.14,,0.2,,1.76,,5.8,,2.51,,0.872,,1.03,,0.2915,,0,,0,,-45.6,,115.7,,10.81,,622,,11.4,,0,,87,,0,,1
12/31/2020,17:30:00,,9.31,,48.7,,282.5,,7.66,,385,,0.3,,296,,3,,0.14,,0.2,,1.76,,5.8,,2.51,,0.872,,1.03,,0.2962,,0,,0,,-45.1,,113.6,,10.64,,622,,11.4,,0,,87,,0,,1
12/31/2020,18:00:00,,9.19,,48.5,,282.4,,7.64,,380,,0.3,,298,,3,,0.14,,0.2,,1.77,,5.8,,2.51,,0.871,,1.03,,0.2916,,0,,0,,-43.9,,111.1,,10.43,,622,,11.4,,0,,87,,0,,1
12/31/2020,18:30:00,,9.07,,48.3,,282.2,,7.63,,374,,0.3,,298,,3,,0.14,,0.2,,1.76,,5.8,,2.5,,0.871,,1.03,,0.2915,,0,,0,,-43.6,,109.5,,10.31,,622,,11.4,,0,,86,,0,,1
12/31/2020,19:00:00,,8.98,,48.2,,282.1,,7.64,,368,,0.3,,298,,3,,0.14,,0.2,,1.76,,5.8,,2.5,,0.871,,1.03,,0.2917,,0,,0,,-44,,108.6,,10.25,,622,,11.4,,0,,86,,0,,1
12/31/2020,19:30:00,,8.87,,48,,282,,7.63,,365,,0.3,,297,,3,,0.14,,0.2,,1.76,,5.8,,2.5,,0.871,,1.03,,0.2917,,0,,0,,-43.3,,108,,10.21,,622,,11.4,,0,,87,,0,,1
12/31/2020,20:00:00,,8.79,,47.8,,282,,7.63,,361,,0.3,,297,,3,,0.14,,0.2,,1.75,,5.7,,2.49,,0.87,,1.03,,0.2915,,0,,0,,-43.6,,106.5,,10.09,,622,,11.4,,0,,86,,0,,1
12/31/2020,20:30:00,,8.72,,47.7,,281.9,,7.62,,359,,0.3,,296,,3,,0.14,,0.2,,1.75,,5.7,,2.49,,0.87,,1.03,,0.2919,,0,,0,,-42.8,,106.3,,10.1,,622,,11.4,,0,,86,,0,,1
12/31/2020,21:00:00,,8.66,,47.6,,281.8,,7.62,,356,,0.3,,294,,3,,0.14,,0.2,,1.76,,5.8,,2.51,,0.87,,1.03,,0.2918,,0,,0,,-42.8,,106.2,,10.1,,622,,11.4,,0,,86,,0,,1
12/31/2020,21:30:00,,8.59,,47.5,,281.8,,7.62,,355,,0.3,,296,,3,,0.14,,0.2,,1.76,,5.8,,2.51,,0.87,,1.03,,0.2915,,0,,0,,-42.8,,105.3,,10.03,,622,,11.4,,0,,86,,0,,1
12/31/2020,22:00:00,,8.54,,47.4,,281.7,,7.62,,353,,0.3,,296,,3,,0.14,,0.2,,1.75,,5.7,,2.49,,0.87,,1.03,,0.2914,,0,,0,,-42.9,,104.8,,10,,622,,11.4,,0,,86,,0,,1
12/31/2020,22:30:00,,8.49,,47.3,,281.7,,7.63,,351,,0.3,,296,,3,,0.14,,0.2,,1.75,,5.8,,2.49,,0.869,,1.03,,0.2914,,0,,0,,-43.2,,104.3,,9.96,,622,,11.4,,0,,86,,0,,1
12/31/2020,23:00:00,,8.44,,47.2,,281.6,,7.63,,350,,0.3,,297,,3,,0.14,,0.2,,1.76,,5.8,,2.51,,0.869,,1.03,,0.31,,0,,0,,-43.1,,104.9,,10.03,,622,,11.4,,0,,86,,0,,1
12/31/2020,23:30:00,,8.38,,47.1,,281.5,,7.63,,349,,0.3,,296,,3,,0.14,,0.2,,1.76,,5.8,,2.51,,0.869,,1.03,,0.2915,,0,,0,,-43.3,,104.4,,10,,622,,11.4,,0,,86,,0,,1
1/1/2021,0:00:00,,8.32,,47,,281.5,,7.63,,348,,0.3,,297,,3,,0.14,,0.2,,1.75,,5.8,,2.5,,0.869,,1.03,,0.292,,0,,0,,-43.2,,104,,9.98,,622,,11.4,,0,,86,,0,,1
