ID,Date,Site,P1,P2,P3,P4
1,10/15/2013,LS eFishing,54,38,17,0
2,10/3/2014,LS eFishing,81,39,19,0
3,8/23/2018,LS eFishing,52,9,13,7
4,8/19/2019,LS eFishing,56,36,22,0
5,10/21/2020,LS eFishing,7,4,3,0
6,10/16/2013,US eFishing,151,62,33,0
7,10/6/2014,US eFishing,54,47,19,0
8,8/22/2018,US eFishing,47,37,53,5
9,8/20/2019,US eFishing,121,70,34,0
10,11/2/2020,US eFishing,58,38,23,0
11,10/21/2013,BC eFishing,63,27,16,0
12,10/7/2014,BC eFishing,42,10,8,0
13,8/24/2018,BC eFishing,78,45,29,0
14,8/21/2019,BC eFishing,94,38,17,0
15,11/9/2020,BC eFishing,41,19,7,0
