ID,Date,Site,Species,Pop_Estimate,Std_Error,X95_LCI,X95_UCI
1,10/16/2013,US eFishing,Coho,7,0.3272772,6.358549,7.641451
2,10/6/2014,US eFishing,Coho,6,0,6,6
3,11/2/2020,US eFishing,Coho,25,5.579984,14.0634324,35.9365676
4,10/16/2013,US eFishing,Steelhead,263,9.0653904,245.2321613,280.7678387
5,10/6/2014,US eFishing,Steelhead,156,22.5768176,111.7502507,200.2497493
6,8/22/2018,US eFishing,Steelhead,190,22.1816,146.524,233.475
7,8/20/2019,US eFishing,Steelhead,264,14.3019062,235.968779,292.031221
8,11/2/2020,US eFishing,Steelhead,124,14.6227213,95.3399929,152.6600071
9,10/15/2013,LS eFishing,Coho,7,0.578327,5.8664998,8.1335
10,10/3/2014,LS eFishing,Coho,21,0.7035265,19.6211135,22.3788865
11,8/23/2018,LS eFishing,Coho,3,0.265908,2.4788299,3.52117
12,10/15/2013,LS eFishing,Steelhead,126,13.2073197,100.1141291,151.8858709
13,10/3/2014,LS eFishing,Steelhead,135,8.842333,117.6693457,152.3306543
14,8/23/2018,LS eFishing,Steelhead,81,2.785,75.54,86.459
15,8/19/2019,LS eFishing,Steelhead,146,16.7200647,113.2292753,178.7707247
16,10/21/2020,LS eFishing,Steelhead,15,2.5526846,9.9968301,20.0031699
17,10/21/2013,BC eFishing,Coho,2,0,2,2
18,8/24/2018,BC eFishing,Coho,1,0,1,1
19,10/21/2013,BC eFishing,Steelhead,116,6.9322589,102.4130222,129.5869778
20,10/7/2014,BC eFishing,Steelhead,62,2.3449952,57.4038939,66.5961061
21,8/24/2018,BC eFishing,Steelhead,190,17.517903,155.6655411,224.3344589
22,8/21/2019,BC eFishing,Steelhead,159,5.3595321,148.4955101,169.5044899
23,11/9/2020,BC eFishing,Steelhead,71,3.4851167,64.1692968,77.8307032
